enroll_id,student_id,course_id,enroll_date,status,attendance_rate,homework_completion_rate
97,32,2,2025-02-23,active,73.0,39.7
98,32,3,2025-01-30,dropped,67.7,36.8
99,33,4,2025-01-09,dropped,46.2,79.9
100,33,5,2024-09-22,completed,60.4,50.4
101,33,5,2024-09-15,no_show,44.7,72.5
102,34,5,2024-10-20,dropped,97.3,73.1
103,34,5,2025-02-11,dropped,65.2,56.1
104,34,5,2024-11-26,active,85.1,60.7
105,34,4,2024-10-09,active,49.6,99.3
106,34,3,2025-07-26,completed,98.7,39.0
107,35,4,2025-01-06,no_show,81.1,35.3
108,35,2,2025-07-19,no_show,82.7,63.7
109,36,5,2025-05-09,active,43.2,62.7
110,36,3,2025-08-05,active,53.1,71.7
111,37,3,2025-03-06,no_show,54.2,36.0
112,37,1,2025-08-28,no_show,41.2,36.4
113,37,3,2025-06-18,dropped,65.6,37.6
114,37,5,2025-04-30,dropped,62.3,88.9
115,37,2,2024-10-03,completed,73.6,43.9
116,38,3,2025-04-06,completed,98.4,41.3
117,38,2,2024-10-17,active,63.3,35.0
118,38,4,2025-02-11,completed,59.0,88.0
119,39,1,2024-10-15,no_show,47.5,33.4
120,39,1,2024-11-14,completed,48.5,88.6
121,40,4,2025-05-11,no_show,91.3,57.0
122,40,3,2024-12-09,active,75.0,67.6
123,41,1,2025-07-18,dropped,73.4,51.4
124,41,5,2025-07-29,active,73.4,58.7
125,42,4,2024-09-23,active,44.0,84.7
126,42,1,2024-09-27,active,52.6,40.3
127,42,1,2025-05-23,dropped,66.9,34.3
128,42,2,2024-09-11,no_show,84.7,81.7
129,43,5,2025-06-29,dropped,66.0,94.7
130,43,4,2025-07-14,completed,49.1,52.6
131,43,4,2025-03-15,dropped,95.3,41.8
132,43,3,2024-11-09,no_show,46.4,56.8
133,43,5,2025-05-23,completed,95.3,81.3
134,44,3,2024-10-23,completed,60.6,49.4
135,44,1,2025-02-08,completed,56.9,89.8
136,44,1,2025-06-21,active,54.6,89.4
137,44,3,2024-11-14,completed,68.0,83.4
138,44,2,2025-03-08,completed,59.3,59.8
139,45,2,2024-11-16,active,96.5,72.4
140,46,3,2025-05-18,no_show,84.6,81.1
141,46,4,2025-01-12,dropped,66.6,69.1
142,46,3,2025-07-13,completed,53.8,36.1
143,46,5,2025-03-02,no_show,44.9,89.8
144,46,5,2025-07-05,dropped,97.3,81.4
145,47,1,2024-12-28,completed,77.9,52.8
146,47,5,2025-07-04,dropped,80.0,64.5
147,47,3,2024-11-10,dropped,51.6,69.3
148,48,2,2025-06-07,completed,96.3,81.8
149,48,5,2025-07-15,no_show,83.1,73.9
150,49,1,2025-03-31,no_show,84.5,66.5
151,49,4,2025-06-25,active,85.0,64.5
152,49,4,2024-12-25,active,53.4,44.8
153,50,4,2024-11-25,dropped,53.2,70.3
154,50,4,2024-09-25,active,100.0,69.3
155,50,1,2025-05-11,completed,90.2,36.7
156,50,5,2025-02-05,active,61.7,42.9
157,50,2,2025-08-14,completed,45.1,96.1
158,51,3,2025-08-12,completed,90.1,88.7
159,51,3,2024-09-01,no_show,69.3,61.8
160,51,2,2025-04-17,no_show,73.0,88.4
161,51,2,2024-10-20,completed,97.2,46.1
162,51,2,2024-10-29,no_show,73.6,68.8
163,52,4,2024-12-19,dropped,90.9,86.0
164,52,2,2025-04-17,no_show,46.6,33.0
165,52,5,2024-09-25,active,86.2,68.7
166,52,3,2025-06-30,active,90.2,62.0
167,53,4,2025-04-14,dropped,73.3,49.7
168,53,1,2025-02-02,active,91.7,57.8
169,53,3,2025-02-02,no_show,45.1,48.0
170,53,5,2025-03-03,dropped,70.2,56.9
171,53,4,2024-09-19,active,64.6,88.0
172,54,5,2024-09-28,no_show,58.4,78.6
173,54,4,2025-06-25,no_show,57.0,88.5
174,55,2,2024-09-26,no_show,62.5,55.9
175,55,1,2025-04-03,completed,66.4,69.1
176,55,3,2024-10-21,dropped,43.7,38.3
177,56,3,2025-02-16,dropped,41.4,59.7
178,56,3,2024-11-17,dropped,89.7,77.2
179,56,3,2024-10-11,completed,95.2,91.7
180,56,1,2024-10-21,dropped,68.3,80.3
181,56,4,2025-03-30,completed,52.6,64.0
182,57,2,2025-02-01,active,41.5,41.8
183,57,2,2024-10-06,no_show,58.8,44.9
184,57,3,2025-04-27,dropped,49.0,76.1
185,58,2,2025-01-28,active,77.2,78.3
186,58,3,2025-06-20,active,40.5,51.3
187,59,4,2025-01-23,no_show,72.1,92.8
188,59,4,2024-11-04,completed,40.8,55.3
189,59,3,2025-04-21,no_show,58.1,88.3
190,60,4,2025-08-22,no_show,48.2,65.7
191,60,2,2025-01-01,no_show,91.9,61.1
192,61,4,2025-08-26,active,74.4,90.2
193,61,2,2024-11-06,no_show,89.9,42.4
194,62,1,2024-12-08,active,54.4,81.9
195,62,5,2025-05-23,dropped,57.8,76.9
196,62,4,2025-04-19,active,99.4,80.6
197,62,1,2025-05-17,no_show,51.8,70.8
198,62,1,2025-04-28,active,91.7,72.7
199,63,2,2025-03-19,no_show,48.3,60.0
200,63,5,2024-09-23,active,66.8,92.7
201,63,4,2025-08-27,completed,62.3,99.2
202,63,3,2025-02-04,no_show,51.7,86.7
203,64,4,2024-09-28,active,66.4,38.3
204,64,2,2025-03-30,completed,91.6,86.9
205,64,2,2025-01-13,dropped,57.6,71.1
206,65,4,2024-11-15,completed,64.7,39.7
207,65,5,2025-07-05,active,78.0,64.4
208,65,2,2025-08-22,dropped,73.4,40.8
209,66,3,2024-11-10,no_show,74.7,44.9
210,66,2,2025-02-28,active,88.7,43.8
211,66,1,2025-08-03,active,60.1,94.0
212,67,2,2025-03-19,active,43.0,43.6
213,68,1,2025-05-23,no_show,60.8,47.9
214,69,3,2025-01-28,active,57.5,75.1
215,70,2,2024-10-07,active,92.7,52.9
216,70,4,2025-06-22,no_show,44.0,54.7
217,71,4,2025-08-16,dropped,90.5,69.6
218,72,2,2024-12-17,no_show,95.6,76.6
219,72,4,2025-04-09,active,93.0,47.8
220,73,5,2025-06-13,active,50.3,57.3
221,73,4,2024-10-10,completed,48.9,90.0
222,73,2,2024-11-01,no_show,86.3,56.9
223,73,2,2025-08-27,dropped,73.9,38.6
224,73,3,2025-04-18,dropped,59.8,58.9
225,74,1,2024-10-31,no_show,66.9,55.5
226,74,2,2025-08-05,no_show,45.9,48.1
227,74,3,2025-08-07,completed,60.2,42.3
228,75,1,2025-05-07,completed,40.5,67.1
229,75,5,2025-01-17,dropped,89.4,72.5
230,75,3,2024-11-24,dropped,83.0,55.1
231,76,3,2025-04-08,dropped,46.2,55.7
232,76,2,2025-04-09,no_show,93.9,51.6
233,76,1,2024-10-18,no_show,45.4,61.8
234,76,4,2025-03-01,dropped,56.3,89.6
235,77,5,2025-04-25,completed,89.4,58.1
236,77,4,2024-12-15,completed,77.6,61.5
237,77,1,2025-05-12,dropped,99.0,85.6
238,77,3,2025-08-02,no_show,41.5,85.5
239,78,1,2025-04-12,dropped,51.0,55.8
240,78,1,2025-07-15,no_show,58.7,72.7
241,78,4,2025-08-20,no_show,51.0,54.5
242,78,3,2024-09-26,completed,66.8,54.6
243,78,5,2024-09-22,active,53.0,89.5
244,79,2,2025-02-15,no_show,69.4,64.4
245,79,5,2025-03-03,dropped,82.4,84.6
246,79,4,2025-02-01,dropped,62.9,72.5
247,80,2,2025-08-02,active,45.5,35.6
248,80,3,2025-02-14,active,55.9,58.3
249,80,4,2024-11-19,active,82.3,89.8
250,81,1,2024-11-20,no_show,43.3,69.3
251,81,2,2025-04-04,no_show,55.1,87.5
252,81,3,2025-07-31,dropped,93.9,96.5
253,81,1,2024-10-04,no_show,70.7,32.7
254,81,5,2025-07-11,dropped,75.1,37.1
255,82,4,2024-10-25,active,90.7,58.7
256,83,1,2025-02-24,dropped,81.6,37.4
257,84,3,2025-06-03,no_show,88.6,85.5
258,84,2,2025-01-07,completed,79.2,80.1
259,84,2,2025-01-12,active,42.1,70.3
260,84,4,2025-08-12,dropped,77.7,30.4
261,84,1,2025-03-31,completed,86.7,61.2
262,85,2,2024-10-28,active,58.0,70.9
263,85,2,2025-02-04,completed,99.4,58.9
264,86,1,2025-02-16,active,70.6,72.1
265,86,2,2025-05-03,completed,98.4,84.7
266,86,3,2024-11-06,completed,89.5,98.5
267,87,1,2025-02-13,active,41.7,96.2
268,87,5,2024-09-16,active,92.1,77.6
269,87,3,2025-08-02,active,52.4,43.6
270,87,2,2025-05-13,active,51.8,61.8
271,88,2,2025-08-24,dropped,91.4,51.9
272,88,5,2025-07-15,completed,98.1,49.5
273,88,4,2024-09-09,no_show,59.5,35.3
274,88,3,2025-06-25,completed,61.1,46.3
275,89,1,2025-07-13,completed,86.1,67.3
276,90,2,2024-10-04,no_show,82.6,86.0
277,90,1,2025-05-14,active,70.6,58.6
278,90,2,2025-07-28,active,73.1,97.5
279,90,2,2025-03-17,no_show,50.5,99.3
280,90,4,2024-10-14,active,65.0,94.7
281,91,5,2025-05-04,no_show,47.6,89.4
282,91,2,2025-08-05,dropped,68.2,44.6
283,91,3,2025-04-12,dropped,68.8,78.1
284,91,2,2025-06-05,dropped,89.1,95.7
285,92,3,2024-12-03,no_show,65.8,50.7
286,92,2,2024-10-08,no_show,40.8,35.3
287,92,4,2025-01-18,active,43.7,49.2
288,92,5,2024-11-10,no_show,54.2,36.8
289,93,2,2025-05-19,dropped,96.2,94.3
290,93,5,2025-07-10,completed,89.5,96.4
291,93,3,2024-10-25,dropped,61.1,37.2
292,93,5,2024-09-13,active,96.1,52.0
293,93,3,2024-09-23,completed,71.6,94.1
294,94,2,2025-04-10,completed,86.1,89.6
295,95,1,2025-07-02,no_show,49.3,58.2
296,95,4,2024-12-02,dropped,49.8,75.8
297,95,4,2025-01-07,dropped,92.8,55.5
298,96,3,2025-02-25,active,54.8,35.4
299,96,4,2025-01-03,dropped,78.9,62.1
300,96,3,2024-12-15,dropped,46.3,98.7
301,96,2,2024-12-16,active,87.6,94.0
302,96,1,2024-09-04,completed,95.3,60.1
303,97,5,2025-05-05,completed,93.0,39.7
304,97,5,2025-07-25,dropped,76.4,43.4
305,97,1,2025-06-14,completed,96.2,47.1
306,97,4,2025-05-19,no_show,46.7,43.1
307,98,2,2024-10-23,completed,99.2,92.9
308,98,3,2025-07-14,no_show,46.9,99.8
309,98,1,2024-09-11,no_show,86.9,54.5
310,98,1,2025-02-13,completed,82.5,73.3
311,98,1,2025-04-15,completed,47.0,56.5
312,99,1,2025-07-21,active,98.4,96.0
313,99,1,2024-10-13,active,40.7,32.9
314,99,2,2025-05-15,active,73.0,45.2
315,99,5,2025-01-23,active,97.4,55.9
316,99,5,2024-11-05,dropped,57.2,34.3
317,100,4,2025-06-06,completed,88.1,62.0
318,100,1,2025-05-01,no_show,88.9,59.2
319,100,2,2025-02-06,dropped,50.9,90.0
320,100,5,2024-09-19,completed,59.0,68.0
321,100,2,2025-01-07,completed,83.8,32.7
322,101,1,2025-01-15,active,81.5,60.5
323,101,4,2025-02-06,active,59.6,69.2
324,101,5,2025-05-08,dropped,99.6,87.3
325,102,1,2024-10-12,completed,94.7,69.5
326,102,3,2025-07-15,dropped,77.7,90.6
327,102,3,2025-07-30,no_show,81.2,41.1
328,103,5,2024-11-24,dropped,69.1,37.2
329,103,2,2025-01-04,active,59.7,53.2
330,104,1,2025-02-19,active,86.8,45.7
331,105,3,2025-04-22,no_show,87.9,69.1
332,105,5,2025-03-31,dropped,44.4,42.0
333,105,3,2025-02-10,completed,74.7,73.8
334,106,5,2025-05-23,no_show,96.5,59.4
335,106,3,2025-07-06,active,97.7,40.7
336,106,4,2025-03-26,dropped,72.6,70.3
337,106,3,2025-01-29,no_show,55.6,72.0
338,106,2,2024-10-03,active,96.9,62.5
339,107,4,2025-05-16,active,79.2,69.5
340,107,5,2024-12-01,completed,47.2,65.7
341,107,4,2025-07-18,completed,66.1,93.3
342,107,5,2024-11-29,completed,83.0,51.1
343,108,2,2025-05-24,dropped,61.2,71.9
344,108,3,2024-11-13,completed,94.0,43.7
345,109,1,2025-04-26,dropped,77.2,82.0
346,110,1,2025-04-28,active,70.6,73.0
347,110,5,2024-12-24,active,95.4,79.7
348,111,1,2025-06-05,active,56.3,85.7
349,111,4,2025-04-13,active,71.6,38.5
350,112,4,2025-01-21,dropped,48.7,70.5
351,113,2,2025-07-13,active,80.6,40.3
352,113,1,2025-05-20,no_show,87.8,85.8
353,113,2,2025-04-01,active,98.1,90.6
354,113,4,2024-10-09,active,92.4,87.2
355,113,1,2025-07-28,no_show,55.6,89.6
356,114,3,2024-12-11,active,52.1,71.6
357,115,5,2024-10-28,completed,97.5,50.2
358,116,2,2025-07-15,dropped,89.1,66.3
359,117,5,2024-11-08,dropped,95.7,44.9
360,117,5,2025-05-14,dropped,57.5,57.1
361,118,1,2024-09-02,active,49.3,99.2
362,118,1,2025-04-30,active,70.2,67.1
363,118,4,2025-08-21,dropped,49.3,77.8
364,118,5,2025-05-26,active,84.7,99.5
365,118,5,2024-12-04,completed,41.1,52.6
366,119,4,2024-12-11,dropped,84.0,42.7
367,119,1,2025-08-15,dropped,75.8,39.8
368,119,3,2025-02-04,dropped,68.1,94.7
369,120,1,2025-06-06,completed,82.6,55.3
370,120,2,2025-07-01,completed,45.4,98.5
371,120,5,2025-05-23,active,47.1,43.9
372,121,3,2025-05-09,completed,99.5,66.2
373,121,2,2025-08-10,no_show,54.6,86.6
374,122,4,2024-10-07,active,84.0,85.3
375,122,2,2025-05-18,no_show,44.5,52.5
376,123,2,2024-09-16,active,94.4,76.8
377,123,3,2025-07-04,completed,60.9,80.8
378,124,4,2024-12-20,active,77.2,41.7
379,124,4,2025-03-15,active,99.8,90.9
380,124,3,2025-05-03,dropped,90.4,79.5
381,125,2,2025-08-28,no_show,87.1,72.3
382,125,3,2025-02-14,active,60.9,75.9
383,125,4,2025-04-15,no_show,50.2,54.9
384,125,3,2024-12-19,no_show,95.3,64.4
385,125,4,2024-12-16,no_show,67.0,70.7
386,126,1,2025-03-06,completed,71.2,94.6
387,126,2,2025-07-07,completed,51.6,85.4
388,127,1,2024-12-06,dropped,81.2,88.8
389,128,1,2025-03-25,active,92.0,78.7
390,129,4,2025-03-31,dropped,67.6,32.8
391,129,4,2025-04-27,active,65.1,56.9
392,129,5,2025-03-14,dropped,75.5,57.3
393,129,3,2024-09-04,active,69.4,96.4
394,130,3,2024-12-21,active,97.0,99.9
395,130,4,2025-02-02,completed,89.7,92.0
396,130,1,2025-07-21,active,61.8,37.7
397,130,1,2025-06-04,no_show,98.4,51.7
398,131,1,2025-07-23,active,71.4,48.3
399,131,1,2025-01-14,dropped,48.0,66.8
400,131,2,2024-10-23,no_show,85.0,35.1
401,132,2,2025-06-18,no_show,50.9,83.9
402,133,5,2025-03-05,no_show,58.8,75.6
403,134,3,2025-08-11,active,70.8,32.6
404,135,1,2025-04-03,no_show,74.0,31.3
405,136,4,2025-07-24,active,97.2,60.2
406,136,5,2024-11-12,dropped,89.3,37.4
407,136,4,2024-10-14,completed,40.1,34.1
408,137,1,2024-09-06,dropped,98.0,49.0
409,137,2,2025-01-22,active,81.4,57.9
410,137,4,2024-10-12,dropped,75.8,32.1
411,137,4,2025-02-04,dropped,72.1,60.0
412,138,4,2025-03-15,completed,93.9,56.7
413,139,4,2024-12-03,dropped,55.5,91.2
414,140,1,2024-12-07,dropped,60.0,45.3
415,140,4,2024-09-20,no_show,99.8,62.0
416,140,2,2025-05-23,no_show,75.6,33.5
417,140,5,2024-12-02,completed,59.5,47.7
418,140,5,2025-05-08,completed,64.4,44.3
419,141,5,2025-01-27,dropped,58.9,60.8
420,141,5,2024-11-26,active,99.4,96.6
421,141,4,2025-01-04,completed,53.2,46.5
422,141,3,2025-06-14,no_show,87.0,34.3
423,142,3,2025-05-23,active,49.6,76.5
424,142,4,2024-09-23,completed,65.4,44.5
425,142,1,2025-01-07,no_show,46.3,32.2
426,143,2,2025-03-13,active,84.4,49.9
427,144,4,2025-02-21,no_show,84.2,73.7
428,144,2,2025-04-11,active,60.4,83.7
429,144,5,2025-07-28,active,77.8,80.7
430,145,5,2025-01-17,dropped,90.8,57.1
431,145,4,2025-08-18,active,98.2,45.8
432,145,1,2025-07-27,no_show,65.7,98.1
433,145,5,2025-03-29,completed,56.5,64.3
434,146,1,2025-07-02,no_show,93.8,93.0
435,146,4,2025-03-10,active,59.3,43.6
436,146,1,2025-03-14,dropped,66.8,99.4
437,147,4,2025-04-30,completed,46.4,99.1
438,147,3,2025-07-02,no_show,91.2,93.8
439,148,3,2025-08-24,dropped,80.3,70.2
440,148,3,2024-11-08,no_show,98.2,75.0
441,149,5,2025-07-18,completed,92.0,69.9
442,149,4,2025-01-09,active,68.4,70.7
443,149,4,2025-01-30,no_show,73.1,37.6
444,149,2,2025-07-03,active,69.9,75.1
445,149,4,2025-01-03,no_show,69.8,55.4
446,150,5,2025-05-29,dropped,74.2,45.2
447,150,4,2025-05-24,no_show,79.9,72.4
448,151,3,2024-10-16,no_show,56.7,85.2
449,151,1,2024-10-29,no_show,68.1,95.8
450,151,4,2025-02-15,active,86.3,37.4
451,151,5,2025-02-01,no_show,99.1,83.8
452,152,2,2024-12-31,no_show,58.2,99.6
453,153,1,2025-06-11,completed,76.4,88.7
454,153,1,2025-01-14,active,67.0,62.8
455,153,5,2025-08-10,no_show,51.1,95.7
456,153,4,2024-11-18,no_show,90.3,72.4
457,153,1,2025-01-11,completed,80.4,58.4
458,154,4,2024-10-03,dropped,88.7,62.4
459,154,1,2024-10-04,completed,93.6,63.5
460,154,1,2025-04-24,completed,68.1,89.8
461,154,4,2025-07-21,dropped,52.6,55.3
462,155,2,2025-02-06,no_show,61.5,73.7
463,156,4,2025-04-17,dropped,99.6,97.4
464,156,5,2024-12-16,completed,52.5,52.3
465,156,4,2024-09-21,active,79.1,83.9
466,157,1,2025-01-12,dropped,67.1,76.2
467,157,2,2025-04-03,dropped,83.7,65.1
468,157,3,2024-10-14,no_show,45.7,60.1
469,157,1,2025-08-25,dropped,92.0,34.7
470,158,5,2025-02-10,dropped,74.0,69.6
471,158,2,2025-01-18,active,68.4,92.8
472,159,4,2025-02-17,active,53.0,77.7
473,159,4,2025-08-25,active,65.1,91.0
474,159,1,2024-09-18,completed,60.8,82.2
475,160,1,2024-09-27,dropped,96.0,78.6
476,160,3,2024-12-06,active,41.5,63.1
477,160,5,2025-03-27,dropped,85.7,91.1
478,161,2,2025-04-03,no_show,66.2,69.6
479,162,1,2025-08-01,completed,60.0,94.9
480,163,1,2025-06-26,active,48.7,78.1
481,164,4,2025-02-21,dropped,77.4,64.2
482,164,1,2025-02-19,completed,43.8,73.9
483,165,3,2025-02-13,dropped,53.7,54.1
484,165,4,2025-06-18,dropped,48.6,96.8
485,166,1,2025-02-02,dropped,91.5,61.6
486,166,4,2025-07-18,no_show,90.8,37.6
487,166,3,2024-08-30,dropped,70.0,97.4
488,166,2,2025-07-30,completed,94.4,42.6
489,167,4,2025-03-02,completed,83.1,46.9
490,167,3,2025-06-10,no_show,90.8,53.1
491,168,5,2025-08-07,dropped,73.1,69.3
492,169,2,2025-05-06,completed,92.7,58.9
493,170,2,2024-10-26,dropped,86.3,36.0
494,171,4,2025-07-06,active,42.6,87.0
495,171,1,2025-04-11,completed,92.7,70.8
496,171,1,2024-09-29,dropped,83.6,91.9
497,172,2,2025-05-19,active,48.0,50.1
498,172,3,2025-04-14,dropped,59.2,41.5
499,173,1,2025-05-29,no_show,68.3,67.3
500,173,1,2025-01-07,no_show,55.1,79.3
501,173,3,2025-04-18,no_show,45.7,44.5
502,173,2,2025-02-28,no_show,70.8,31.8
503,173,1,2025-07-01,dropped,45.5,97.8
504,174,5,2025-03-25,active,56.5,85.5
505,174,2,2025-05-07,completed,80.8,87.0
506,174,4,2025-04-03,no_show,53.3,51.2
507,174,5,2025-02-04,active,64.0,91.0
508,175,4,2024-10-29,no_show,74.1,98.0
509,175,2,2024-11-09,completed,72.4,73.0
510,176,1,2025-08-11,active,96.9,94.1
511,176,3,2024-10-28,completed,72.0,51.9
512,177,5,2024-11-06,dropped,52.7,50.8
513,177,4,2025-07-30,completed,71.3,94.6
514,177,3,2025-07-28,dropped,73.4,67.7
515,177,5,2025-07-12,active,78.6,48.3
516,177,3,2025-06-14,completed,74.1,68.3
517,178,3,2025-02-20,no_show,70.7,85.4
518,179,2,2025-05-01,active,47.2,49.4
519,180,3,2025-06-19,no_show,67.7,87.3
520,180,1,2025-06-30,completed,97.1,45.7
521,180,4,2024-11-17,dropped,98.4,71.4
522,181,3,2024-12-10,no_show,72.4,82.6
523,182,5,2024-10-28,no_show,80.1,59.9
524,183,4,2025-02-14,dropped,87.7,46.2
525,184,2,2025-05-22,dropped,86.2,65.4
526,184,4,2025-04-03,completed,72.3,87.4
527,184,4,2025-07-16,completed,99.2,89.3
528,184,3,2024-12-24,completed,63.7,76.8
529,185,3,2025-07-31,dropped,82.0,51.9
530,186,5,2025-05-05,completed,71.9,91.1
531,186,4,2024-12-07,completed,51.2,70.2
532,186,2,2025-04-20,dropped,69.4,56.9
533,187,5,2024-10-20,dropped,81.7,74.3
534,187,3,2025-02-05,active,74.3,54.2
535,187,4,2025-04-30,no_show,92.5,87.2
536,187,2,2025-08-09,active,88.8,85.5
537,187,2,2025-05-29,no_show,78.0,66.2
538,188,5,2025-08-08,dropped,46.9,96.3
539,188,2,2025-08-19,completed,57.9,93.3
540,189,5,2025-04-24,active,47.6,44.3
541,190,2,2024-09-02,no_show,58.5,92.3
542,190,1,2025-06-15,no_show,71.2,93.4
543,190,3,2025-07-13,no_show,42.5,40.9
544,190,1,2024-10-08,completed,74.4,39.7
545,191,5,2024-10-24,completed,50.7,83.2
546,192,5,2024-10-12,active,100.0,89.1
547,192,4,2025-05-06,active,59.8,40.1
548,192,3,2025-06-27,completed,95.4,57.9
549,192,2,2025-06-23,completed,80.3,67.6
550,192,3,2025-02-13,no_show,77.0,92.0
551,193,1,2024-10-12,no_show,45.9,49.8
552,193,4,2024-10-13,no_show,53.1,88.2
553,193,1,2025-01-05,dropped,71.1,88.7
554,194,2,2025-01-16,dropped,51.5,98.4
555,194,5,2025-06-30,active,74.4,35.7
556,195,4,2025-04-24,active,47.0,72.5
557,195,4,2025-04-25,no_show,98.1,98.4
558,195,4,2024-12-13,active,59.0,32.8
559,195,2,2024-11-13,completed,57.4,42.8
560,196,3,2024-11-21,dropped,73.2,72.1
561,196,2,2024-08-31,no_show,85.7,65.2
562,197,1,2025-06-05,completed,41.4,48.0
563,197,1,2025-05-22,completed,47.4,48.6
564,197,5,2025-03-09,completed,69.3,63.7
565,197,4,2025-07-09,dropped,84.9,58.4
566,198,5,2025-07-24,active,91.5,53.5
567,199,4,2024-10-30,dropped,42.2,44.2
568,199,1,2025-01-20,no_show,92.1,78.0
569,199,4,2025-03-16,active,43.2,43.4
570,200,2,2025-04-20,active,85.3,52.5
571,201,5,2025-02-24,active,69.0,42.4
572,201,1,2025-01-02,no_show,88.1,85.8
573,202,2,2025-01-13,no_show,59.1,64.2
574,202,2,2025-07-03,completed,72.6,68.6
